Roadway,Hour,Pollutant,EF
via03,0,CO2,0.827538901666667
via03,1,CO2,1.2413083525
via03,2,CO2,1.01740180175
via03,3,CO2,1.786541933
via03,4,CO2,2.47292817408333
via03,5,CO2,5.73935159916666
via03,6,CO2,7.50153841241666
via03,7,CO2,17.3298742804167
via03,8,CO2,20.2846592066666
via03,9,CO2,24.9675872955
via03,10,CO2,29.6651819731667
via03,11,CO2,20.649718418
via03,12,CO2,17.7630207930833
via03,13,CO2,14.32140105675
via03,14,CO2,13.9806969651667
via03,15,CO2,14.2776688751667
via03,16,CO2,14.17055986525
via03,17,CO2,21.96409212975
via03,18,CO2,27.8299298006666
via03,19,CO2,28.31676461075
via03,20,CO2,10.1933950793333
via03,21,CO2,3.96249819708333
via03,22,CO2,2.69683472483333
via03,23,CO2,1.51392514275
