Roadway,Hour,Pollutant,EF
via01,0,PM10,0.000216463455555556
via01,1,PM10,0.000324695183333334
via01,2,PM10,0.000176149147222222
via01,3,PM10,0.000287359257777778
via01,4,PM10,0.000376923022777778
via01,5,PM10,0.000781449156666667
via01,6,PM10,0.00115241541388889
via01,7,PM10,0.00318339584722222
via01,8,PM10,0.00404627128666667
via01,9,PM10,0.00509125263888889
via01,10,PM10,0.00578015964777777
via01,11,PM10,0.00432171701333333
via01,12,PM10,0.00383656226277778
via01,13,PM10,0.00311627609388889
via01,14,PM10,0.00275722336777778
via01,15,PM10,0.00265494840555555
via01,16,PM10,0.00271690905944444
via01,17,PM10,0.00439559119833333
via01,18,PM10,0.00566001438888889
via01,19,PM10,0.00551742511833333
via01,20,PM10,0.00230642616
via01,21,PM10,0.000766557242777777
via01,22,PM10,0.000525469058888889
via01,23,PM10,0.000306027220555555
