Roadway,Hour,Pollutant,EF
via01,0,NH3_all,0.000198409833333333
via01,1,NH3_all,0.00029761475
via01,2,NH3_all,9.92049166666666e-05
via01,3,NH3_all,0.000138886883333333
via01,4,NH3_all,0.000158727866666667
via01,5,NH3_all,0.000218250816666666
via01,6,NH3_all,0.000496024583333334
via01,7,NH3_all,0.00198409833333333
via01,8,NH3_all,0.00283726061666666
via01,9,NH3_all,0.00367058191666666
via01,10,NH3_all,0.0039285147
via01,11,NH3_all,0.0032142393
via01,12,NH3_all,0.00295630651666666
via01,13,NH3_all,0.00242059996666666
via01,14,NH3_all,0.0019047344
via01,15,NH3_all,0.00168648358333333
via01,16,NH3_all,0.00180552948333333
via01,17,NH3_all,0.0030951934
via01,18,NH3_all,0.00406740158333334
via01,19,NH3_all,0.00374994585
via01,20,NH3_all,0.00186505243333333
via01,21,NH3_all,0.000515865566666666
via01,22,NH3_all,0.0003571377
via01,23,NH3_all,0.000218250816666666
