Roadway,Hour,Pollutant,EF
via02,0,CO2,0.827538901666667
via02,1,CO2,1.2413083525
via02,2,CO2,0.833303694805556
via02,3,CO2,1.41834571911111
via02,4,CO2,1.92063385325
via02,5,CO2,4.26656674361111
via02,6,CO2,5.84465544991666
via02,7,CO2,14.56840267625
via02,8,CO2,17.7072857094444
via02,9,CO2,22.0220175843889
via02,10,CO2,25.6150236203889
via02,11,CO2,18.4405411346667
via02,12,CO2,16.1061378305833
via02,13,CO2,13.0327143081389
via02,14,CO2,12.1397158957223
via02,15,CO2,12.0684915918333
via02,16,CO2,12.1454806888611
via02,17,CO2,19.2026205255833
via02,18,CO2,24.5161638756666
via02,19,CO2,24.4507043649167
via02,20,CO2,9.45700265155555
via02,21,CO2,3.41020387625
via02,22,CO2,2.32863851094444
via02,23,CO2,1.32982703580556
