Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_MJ/vehicle,Heavy Vehicles_E_MJ/s
via02,1,0,0,FC,21.900026,0
via02,1,1,0,FC,21.900026,0
via02,1,2,1,FC,21.900026,0.00608334055555555
via02,1,3,2,FC,21.900026,0.0121666811111111
via02,1,4,3,FC,21.900026,0.0182500216666667
via02,1,5,8,FC,21.900026,0.0486667244444444
via02,1,6,9,FC,21.900026,0.054750065
via02,1,7,15,FC,21.900026,0.0912501083333333
via02,1,8,14,FC,21.900026,0.0851667677777778
via02,1,9,16,FC,21.900026,0.0973334488888889
via02,1,10,22,FC,21.900026,0.133833492222222
via02,1,11,12,FC,21.900026,0.0730000866666667
via02,1,12,9,FC,21.900026,0.054750065
via02,1,13,7,FC,21.900026,0.0425833838888889
via02,1,14,10,FC,21.900026,0.0608334055555555
via02,1,15,12,FC,21.900026,0.0730000866666667
via02,1,16,11,FC,21.900026,0.0669167461111111
via02,1,17,15,FC,21.900026,0.0912501083333333
via02,1,18,18,FC,21.900026,0.10950013
via02,1,19,21,FC,21.900026,0.127750151666667
via02,1,20,4,FC,21.900026,0.0243333622222222
via02,1,21,3,FC,21.900026,0.0182500216666667
via02,1,22,2,FC,21.900026,0.0121666811111111
via02,1,23,1,FC,21.900026,0.00608334055555555
