Roadway,Hour,Pollutant,EF
via03,0,PM10,0.000216463455555556
via03,1,PM10,0.000324695183333334
via03,2,PM10,0.000176711577222222
via03,3,PM10,0.000288484117777778
via03,4,PM10,0.000378610312777778
via03,5,PM10,0.000785948596666667
via03,6,PM10,0.00115747728388889
via03,7,PM10,0.00319183229722222
via03,8,PM10,0.00405414530666667
via03,9,PM10,0.00510025151888889
via03,10,PM10,0.00579253310777777
via03,11,PM10,0.00432846617333333
via03,12,PM10,0.00384162413277778
via03,13,PM10,0.00312021310388889
via03,14,PM10,0.00276284766777778
via03,15,PM10,0.00266169756555555
via03,16,PM10,0.00272309578944444
via03,17,PM10,0.00440402764833333
via03,18,PM10,0.00567013812888889
via03,19,PM10,0.00552923614833333
via03,20,PM10,0.00230867588
via03,21,PM10,0.000768244532777777
via03,22,PM10,0.000526593918888889
via03,23,PM10,0.000306589650555555
