Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_MJ/vehicle,Light Vehicles_E_MJ/s,Heavy Vehicles,Heavy Vehicles_EF_MJ/vehicle,Heavy Vehicles_E_MJ/s,EF
via02,1,0,10,FC,4.633571,0.0128710305555556,0,21.900026,0,0.0128710305555556
via02,1,1,15,FC,4.633571,0.0193065458333333,0,21.900026,0,0.0193065458333333
via02,1,2,5,FC,4.633571,0.00643551527777778,1,21.900026,0.00608334055555555,0.0125188558333333
via02,1,3,7,FC,4.633571,0.00900972138888889,2,21.900026,0.0121666811111111,0.0211764025
via02,1,4,8,FC,4.633571,0.0102968244444444,3,21.900026,0.0182500216666667,0.0285468461111111
via02,1,5,11,FC,4.633571,0.0141581336111111,8,21.900026,0.0486667244444444,0.0628248580555555
via02,1,6,25,FC,4.633571,0.0321775763888889,9,21.900026,0.054750065,0.0869276413888889
via02,1,7,100,FC,4.633571,0.128710305555556,15,21.900026,0.0912501083333333,0.219960413888889
via02,1,8,143,FC,4.633571,0.184055736944444,14,21.900026,0.0851667677777778,0.269222504722222
via02,1,9,185,FC,4.633571,0.238114065277778,16,21.900026,0.0973334488888889,0.335447514166667
via02,1,10,198,FC,4.633571,0.254846405,22,21.900026,0.133833492222222,0.388679897222222
via02,1,11,162,FC,4.633571,0.208510695,12,21.900026,0.0730000866666667,0.281510781666667
via02,1,12,149,FC,4.633571,0.191778355277778,9,21.900026,0.054750065,0.246528420277778
via02,1,13,122,FC,4.633571,0.157026572777778,7,21.900026,0.0425833838888889,0.199609956666667
via02,1,14,96,FC,4.633571,0.123561893333333,10,21.900026,0.0608334055555555,0.184395298888889
via02,1,15,85,FC,4.633571,0.109403759722222,12,21.900026,0.0730000866666667,0.182403846388889
via02,1,16,91,FC,4.633571,0.117126378055556,11,21.900026,0.0669167461111111,0.184043124166667
via02,1,17,156,FC,4.633571,0.200788076666667,15,21.900026,0.0912501083333333,0.292038185
via02,1,18,205,FC,4.633571,0.263856126388889,18,21.900026,0.10950013,0.373356256388889
via02,1,19,189,FC,4.633571,0.2432624775,21,21.900026,0.127750151666667,0.371012629166667
via02,1,20,94,FC,4.633571,0.120987687222222,4,21.900026,0.0243333622222222,0.145321049444444
via02,1,21,26,FC,4.633571,0.0334646794444444,3,21.900026,0.0182500216666667,0.0517147011111111
via02,1,22,18,FC,4.633571,0.023167855,2,21.900026,0.0121666811111111,0.0353345361111111
via02,1,23,11,FC,4.633571,0.0141581336111111,1,21.900026,0.00608334055555555,0.0202414741666667
