Roadway,Hour,Pollutant,EF
via03,0,N2O_all,5.91648333333334e-05
via03,1,N2O_all,8.874725e-05
via03,2,N2O_all,2.95824166666666e-05
via03,3,N2O_all,4.14153833333334e-05
via03,4,N2O_all,4.73318666666666e-05
via03,5,N2O_all,6.50813166666666e-05
via03,6,N2O_all,0.000147912083333333
via03,7,N2O_all,0.000591648333333334
via03,8,N2O_all,0.000846057116666666
via03,9,N2O_all,0.00109454941666667
via03,10,N2O_all,0.0011714637
via03,11,N2O_all,0.0009584703
via03,12,N2O_all,0.000881556016666666
via03,13,N2O_all,0.000721810966666666
via03,14,N2O_all,0.0005679824
via03,15,N2O_all,0.000502901083333334
via03,16,N2O_all,0.000538399983333334
via03,17,N2O_all,0.0009229714
via03,18,N2O_all,0.00121287908333333
via03,19,N2O_all,0.00111821535
via03,20,N2O_all,0.000556149433333334
via03,21,N2O_all,0.000153828566666667
via03,22,N2O_all,0.0001064967
via03,23,N2O_all,6.50813166666666e-05
