Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_MJ/vehicle,Heavy Vehicles_E_MJ/s
via01,1,0,0,FC,17.89865,0
via01,1,1,0,FC,17.89865,0
via01,1,2,1,FC,17.89865,0.00497184722222222
via01,1,3,2,FC,17.89865,0.00994369444444444
via01,1,4,3,FC,17.89865,0.0149155416666667
via01,1,5,8,FC,17.89865,0.0397747777777778
via01,1,6,9,FC,17.89865,0.044746625
via01,1,7,15,FC,17.89865,0.0745777083333333
via01,1,8,14,FC,17.89865,0.0696058611111111
via01,1,9,16,FC,17.89865,0.0795495555555556
via01,1,10,22,FC,17.89865,0.109380638888889
via01,1,11,12,FC,17.89865,0.0596621666666667
via01,1,12,9,FC,17.89865,0.044746625
via01,1,13,7,FC,17.89865,0.0348029305555556
via01,1,14,10,FC,17.89865,0.0497184722222222
via01,1,15,12,FC,17.89865,0.0596621666666667
via01,1,16,11,FC,17.89865,0.0546903194444444
via01,1,17,15,FC,17.89865,0.0745777083333333
via01,1,18,18,FC,17.89865,0.08949325
via01,1,19,21,FC,17.89865,0.104408791666667
via01,1,20,4,FC,17.89865,0.0198873888888889
via01,1,21,3,FC,17.89865,0.0149155416666667
via01,1,22,2,FC,17.89865,0.00994369444444444
via01,1,23,1,FC,17.89865,0.00497184722222222
