Roadway,Hour,Pollutant,EF
via03,0,xylene,3.74197388888889e-06
via03,1,xylene,5.61296083333333e-06
via03,2,xylene,2.42434152777777e-06
via03,3,xylene,3.72609088888889e-06
via03,4,xylene,4.65364286111111e-06
via03,5,xylene,8.54300794444444e-06
via03,6,xylene,1.43351259722222e-05
via03,7,xylene,4.57200576388889e-05
via03,8,xylene,6.12571907777778e-05
via03,9,xylene,7.80801902777777e-05
via03,10,xylene,8.62648838333334e-05
via03,11,xylene,6.7260232e-05
via03,12,xylene,6.07356021944445e-05
via03,13,xylene,4.95255635277777e-05
via03,14,xylene,4.14564951666667e-05
via03,15,xylene,3.84470330555555e-05
via03,16,xylene,4.01388628055556e-05
via03,17,xylene,6.66751114166667e-05
via03,18,xylene,8.66708472222222e-05
via03,19,xylene,8.234375275e-05
via03,20,xylene,3.73879728888889e-05
via03,21,xylene,1.13891958611111e-05
via03,22,xylene,7.84226216666666e-06
via03,23,xylene,4.66952586111111e-06
