Roadway,Hour,Pollutant,EF
via02,0,N2O_all,5.91648333333334e-05
via02,1,N2O_all,8.874725e-05
via02,2,N2O_all,2.95824166666666e-05
via02,3,N2O_all,4.14153833333334e-05
via02,4,N2O_all,4.73318666666666e-05
via02,5,N2O_all,6.50813166666666e-05
via02,6,N2O_all,0.000147912083333333
via02,7,N2O_all,0.000591648333333334
via02,8,N2O_all,0.000846057116666666
via02,9,N2O_all,0.00109454941666667
via02,10,N2O_all,0.0011714637
via02,11,N2O_all,0.0009584703
via02,12,N2O_all,0.000881556016666666
via02,13,N2O_all,0.000721810966666666
via02,14,N2O_all,0.0005679824
via02,15,N2O_all,0.000502901083333334
via02,16,N2O_all,0.000538399983333334
via02,17,N2O_all,0.0009229714
via02,18,N2O_all,0.00121287908333333
via02,19,N2O_all,0.00111821535
via02,20,N2O_all,0.000556149433333334
via02,21,N2O_all,0.000153828566666667
via02,22,N2O_all,0.0001064967
via02,23,N2O_all,6.50813166666666e-05
