Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via04,1,0,0,o-xylene,0.00060584025,0
via04,1,1,0,o-xylene,0.00060584025,0
via04,1,2,1,o-xylene,0.00060584025,1.68288958333333e-07
via04,1,3,2,o-xylene,0.00060584025,3.36577916666667e-07
via04,1,4,3,o-xylene,0.00060584025,5.04866875e-07
via04,1,5,8,o-xylene,0.00060584025,1.34631166666667e-06
via04,1,6,9,o-xylene,0.00060584025,1.514600625e-06
via04,1,7,15,o-xylene,0.00060584025,2.524334375e-06
via04,1,8,14,o-xylene,0.00060584025,2.35604541666667e-06
via04,1,9,16,o-xylene,0.00060584025,2.69262333333333e-06
via04,1,10,22,o-xylene,0.00060584025,3.70235708333333e-06
via04,1,11,12,o-xylene,0.00060584025,2.0194675e-06
via04,1,12,9,o-xylene,0.00060584025,1.514600625e-06
via04,1,13,7,o-xylene,0.00060584025,1.17802270833333e-06
via04,1,14,10,o-xylene,0.00060584025,1.68288958333333e-06
via04,1,15,12,o-xylene,0.00060584025,2.0194675e-06
via04,1,16,11,o-xylene,0.00060584025,1.85117854166667e-06
via04,1,17,15,o-xylene,0.00060584025,2.524334375e-06
via04,1,18,18,o-xylene,0.00060584025,3.02920125e-06
via04,1,19,21,o-xylene,0.00060584025,3.534068125e-06
via04,1,20,4,o-xylene,0.00060584025,6.73155833333333e-07
via04,1,21,3,o-xylene,0.00060584025,5.04866875e-07
via04,1,22,2,o-xylene,0.00060584025,3.36577916666667e-07
via04,1,23,1,o-xylene,0.00060584025,1.68288958333333e-07
