Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_MJ/vehicle,Light Vehicles_E_MJ/s,Heavy Vehicles,Heavy Vehicles_EF_MJ/vehicle,Heavy Vehicles_E_MJ/s,EF
via01,1,0,10,FC,4.633571,0.0128710305555556,0,17.89865,0,0.0128710305555556
via01,1,1,15,FC,4.633571,0.0193065458333333,0,17.89865,0,0.0193065458333333
via01,1,2,5,FC,4.633571,0.00643551527777778,1,17.89865,0.00497184722222222,0.0114073625
via01,1,3,7,FC,4.633571,0.00900972138888889,2,17.89865,0.00994369444444444,0.0189534158333333
via01,1,4,8,FC,4.633571,0.0102968244444444,3,17.89865,0.0149155416666667,0.0252123661111111
via01,1,5,11,FC,4.633571,0.0141581336111111,8,17.89865,0.0397747777777778,0.0539329113888889
via01,1,6,25,FC,4.633571,0.0321775763888889,9,17.89865,0.044746625,0.0769242013888889
via01,1,7,100,FC,4.633571,0.128710305555556,15,17.89865,0.0745777083333333,0.203288013888889
via01,1,8,143,FC,4.633571,0.184055736944444,14,17.89865,0.0696058611111111,0.253661598055556
via01,1,9,185,FC,4.633571,0.238114065277778,16,17.89865,0.0795495555555556,0.317663620833333
via01,1,10,198,FC,4.633571,0.254846405,22,17.89865,0.109380638888889,0.364227043888889
via01,1,11,162,FC,4.633571,0.208510695,12,17.89865,0.0596621666666667,0.268172861666667
via01,1,12,149,FC,4.633571,0.191778355277778,9,17.89865,0.044746625,0.236524980277778
via01,1,13,122,FC,4.633571,0.157026572777778,7,17.89865,0.0348029305555556,0.191829503333333
via01,1,14,96,FC,4.633571,0.123561893333333,10,17.89865,0.0497184722222222,0.173280365555556
via01,1,15,85,FC,4.633571,0.109403759722222,12,17.89865,0.0596621666666667,0.169065926388889
via01,1,16,91,FC,4.633571,0.117126378055556,11,17.89865,0.0546903194444444,0.1718166975
via01,1,17,156,FC,4.633571,0.200788076666667,15,17.89865,0.0745777083333333,0.275365785
via01,1,18,205,FC,4.633571,0.263856126388889,18,17.89865,0.08949325,0.353349376388889
via01,1,19,189,FC,4.633571,0.2432624775,21,17.89865,0.104408791666667,0.347671269166667
via01,1,20,94,FC,4.633571,0.120987687222222,4,17.89865,0.0198873888888889,0.140875076111111
via01,1,21,26,FC,4.633571,0.0334646794444444,3,17.89865,0.0149155416666667,0.0483802211111111
via01,1,22,18,FC,4.633571,0.023167855,2,17.89865,0.00994369444444444,0.0331115494444444
via01,1,23,11,FC,4.633571,0.0141581336111111,1,17.89865,0.00497184722222222,0.0191299808333333
