Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via02,1,0,10,CO,1.688481,0.004690225,0,1.6064609,0,0.004690225
via02,1,1,15,CO,1.688481,0.0070353375,0,1.6064609,0,0.0070353375
via02,1,2,5,CO,1.688481,0.0023451125,1,1.6064609,0.000446239138888889,0.00279135163888889
via02,1,3,7,CO,1.688481,0.0032831575,2,1.6064609,0.000892478277777778,0.00417563577777778
via02,1,4,8,CO,1.688481,0.00375218,3,1.6064609,0.00133871741666667,0.00509089741666667
via02,1,5,11,CO,1.688481,0.0051592475,8,1.6064609,0.00356991311111111,0.00872916061111111
via02,1,6,25,CO,1.688481,0.0117255625,9,1.6064609,0.00401615225,0.01574171475
via02,1,7,100,CO,1.688481,0.04690225,15,1.6064609,0.00669358708333333,0.0535958370833333
via02,1,8,143,CO,1.688481,0.0670702175,14,1.6064609,0.00624734794444444,0.0733175654444444
via02,1,9,185,CO,1.688481,0.0867691625,16,1.6064609,0.00713982622222222,0.0939089887222222
via02,1,10,198,CO,1.688481,0.092866455,22,1.6064609,0.00981726105555556,0.102683716055556
via02,1,11,162,CO,1.688481,0.075981645,12,1.6064609,0.00535486966666667,0.0813365146666667
via02,1,12,149,CO,1.688481,0.0698843525,9,1.6064609,0.00401615225,0.07390050475
via02,1,13,122,CO,1.688481,0.057220745,7,1.6064609,0.00312367397222222,0.0603444189722222
via02,1,14,96,CO,1.688481,0.04502616,10,1.6064609,0.00446239138888889,0.0494885513888889
via02,1,15,85,CO,1.688481,0.0398669125,12,1.6064609,0.00535486966666667,0.0452217821666667
via02,1,16,91,CO,1.688481,0.0426810475,11,1.6064609,0.00490863052777778,0.0475896780277778
via02,1,17,156,CO,1.688481,0.07316751,15,1.6064609,0.00669358708333333,0.0798610970833333
via02,1,18,205,CO,1.688481,0.0961496125,18,1.6064609,0.0080323045,0.104181917
via02,1,19,189,CO,1.688481,0.0886452525,21,1.6064609,0.00937102191666667,0.0980162744166667
via02,1,20,94,CO,1.688481,0.044088115,4,1.6064609,0.00178495655555556,0.0458730715555556
via02,1,21,26,CO,1.688481,0.012194585,3,1.6064609,0.00133871741666667,0.0135333024166667
via02,1,22,18,CO,1.688481,0.008442405,2,1.6064609,0.000892478277777778,0.00933488327777778
via02,1,23,11,CO,1.688481,0.0051592475,1,1.6064609,0.000446239138888889,0.00560548663888889
