Roadway,Hour,Pollutant,EF
via04,0,xylene,3.74197388888889e-06
via04,1,xylene,5.61296083333333e-06
via04,2,xylene,2.45158375e-06
via04,3,xylene,3.78057533333333e-06
via04,4,xylene,4.73536952777778e-06
via04,5,xylene,8.76094572222222e-06
via04,6,xylene,1.45803059722222e-05
via04,7,xylene,4.61286909722222e-05
via04,8,xylene,6.16385818888889e-05
via04,9,xylene,7.85160658333333e-05
via04,10,xylene,8.68642127222222e-05
via04,11,xylene,6.75871386666667e-05
via04,12,xylene,6.09807821944445e-05
via04,13,xylene,4.97162590833333e-05
via04,14,xylene,4.17289173888889e-05
via04,15,xylene,3.87739397222222e-05
via04,16,xylene,4.043852725e-05
via04,17,xylene,6.708374475e-05
via04,18,xylene,8.71612072222222e-05
via04,19,xylene,8.29158394166667e-05
via04,20,xylene,3.74969417777778e-05
via04,21,xylene,1.14709225277778e-05
via04,22,xylene,7.89674661111111e-06
via04,23,xylene,4.69676808333333e-06
