Roadway,Hour,Pollutant,EF
via04,0,PM10,0.000216463455555556
via04,1,PM10,0.000324695183333334
via04,2,PM10,0.000178542616666667
via04,3,PM10,0.000292146196666667
via04,4,PM10,0.000384103431111111
via04,5,PM10,0.000800596912222223
via04,6,PM10,0.00117395663888889
via04,7,PM10,0.00321929788888889
via04,8,PM10,0.00407977985888889
via04,9,PM10,0.00512954815
via04,10,PM10,0.00583281597555555
via04,11,PM10,0.00435043864666666
via04,12,PM10,0.00385810348777778
via04,13,PM10,0.00313303038
via04,14,PM10,0.00278115806222222
via04,15,PM10,0.00268367003888889
via04,16,PM10,0.00274323722333333
via04,17,PM10,0.00443149324
via04,18,PM10,0.00570309683888889
via04,19,PM10,0.00556768797666666
via04,20,PM10,0.00231600003777778
via04,21,PM10,0.00077373765111111
via04,22,PM10,0.000530255997777778
via04,23,PM10,0.00030842069
