Roadway,Hour,Pollutant,EF
via02,0,xylene,3.74197388888889e-06
via02,1,xylene,5.61296083333333e-06
via02,2,xylene,2.38311328333334e-06
via02,3,xylene,3.6436344e-06
via02,4,xylene,4.52995812777778e-06
via02,5,xylene,8.21318198888889e-06
via02,6,xylene,1.39640717722222e-05
via02,7,xylene,4.51016339722222e-05
via02,8,xylene,6.06799953555556e-05
via02,9,xylene,7.74205383666667e-05
via02,10,xylene,8.53578624555556e-05
via02,11,xylene,6.67654930666667e-05
via02,12,xylene,6.03645479944445e-05
via02,13,xylene,4.92369658166667e-05
via02,14,xylene,4.10442127222222e-05
via02,15,xylene,3.79522941222222e-05
via02,16,xylene,3.96853521166666e-05
via02,17,xylene,6.605668775e-05
via02,18,xylene,8.59287388222222e-05
via02,19,xylene,8.14779596166667e-05
via02,20,xylene,3.72230599111111e-05
via02,21,xylene,1.12655111277778e-05
via02,22,xylene,7.75980567777778e-06
via02,23,xylene,4.62829761666667e-06
