Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via02,1,0,10,CH4,0.131081,0.000364113888888889
via02,1,1,15,CH4,0.131081,0.000546170833333333
via02,1,2,5,CH4,0.131081,0.000182056944444444
via02,1,3,7,CH4,0.131081,0.000254879722222222
via02,1,4,8,CH4,0.131081,0.000291291111111111
via02,1,5,11,CH4,0.131081,0.000400525277777778
via02,1,6,25,CH4,0.131081,0.000910284722222222
via02,1,7,100,CH4,0.131081,0.00364113888888889
via02,1,8,143,CH4,0.131081,0.00520682861111111
via02,1,9,185,CH4,0.131081,0.00673610694444444
via02,1,10,198,CH4,0.131081,0.007209455
via02,1,11,162,CH4,0.131081,0.005898645
via02,1,12,149,CH4,0.131081,0.00542529694444444
via02,1,13,122,CH4,0.131081,0.00444218944444444
via02,1,14,96,CH4,0.131081,0.00349549333333333
via02,1,15,85,CH4,0.131081,0.00309496805555556
via02,1,16,91,CH4,0.131081,0.00331343638888889
via02,1,17,156,CH4,0.131081,0.00568017666666667
via02,1,18,205,CH4,0.131081,0.00746433472222222
via02,1,19,189,CH4,0.131081,0.0068817525
via02,1,20,94,CH4,0.131081,0.00342267055555556
via02,1,21,26,CH4,0.131081,0.000946696111111111
via02,1,22,18,CH4,0.131081,0.000655405
via02,1,23,11,CH4,0.131081,0.000400525277777778
