Roadway,Hour,Pollutant,EF
via04,0,NH3_all,0.000198409833333333
via04,1,NH3_all,0.00029761475
via04,2,NH3_all,9.92049166666666e-05
via04,3,NH3_all,0.000138886883333333
via04,4,NH3_all,0.000158727866666667
via04,5,NH3_all,0.000218250816666666
via04,6,NH3_all,0.000496024583333334
via04,7,NH3_all,0.00198409833333333
via04,8,NH3_all,0.00283726061666666
via04,9,NH3_all,0.00367058191666666
via04,10,NH3_all,0.0039285147
via04,11,NH3_all,0.0032142393
via04,12,NH3_all,0.00295630651666666
via04,13,NH3_all,0.00242059996666666
via04,14,NH3_all,0.0019047344
via04,15,NH3_all,0.00168648358333333
via04,16,NH3_all,0.00180552948333333
via04,17,NH3_all,0.0030951934
via04,18,NH3_all,0.00406740158333334
via04,19,NH3_all,0.00374994585
via04,20,NH3_all,0.00186505243333333
via04,21,NH3_all,0.000515865566666666
via04,22,NH3_all,0.0003571377
via04,23,NH3_all,0.000218250816666666
